GoldLabel,Premise,Hypothesis,PairID,PremiseSubj,PremiseRel,PremiseObj,HypothesisSubj,HypothesisRel,HypothesisObj
entailment,Mrs. Vandemeyer's cook puzzled her.,The cook confused her.,27676e,Mrs. Vandemeyer's cook,puzzled,her,The cook,confused,her
contradiction,People are stretching on yoga mats.,They stretched on bikes.,6808423201.jpg#3r1c,People,are stretching,on yoga mats,They,stretched,on bikes
neutral,A climber scales a rock wall.,A climber is scaling a mountain.,2980348138.jpg#3r1n,A climber,scales,a rock wall,A climber,is scaling,a mountain
entailment,"You really spoke to them?""",You spoke to them?,33535e,You,really spoke,to them,You,spoke,to them
contradiction,A small girl is holding a toothbrush.,The boy is holding a toothbrush.,6915574150.jpg#4r1c,A small girl,is holding,a toothbrush,The boy,is holding,a toothbrush
contradiction,(Here is Time 's version.),Here is People's version.,144164c,Here,is,Time 's version,Here,is,People's version
contradiction,Runners running in a marathon.,The runners are eating hotdogs.,4961553786.jpg#4r1c,Runners,running,in a marathon,The runners,are eating,hotdogs
contradiction,Two young people serve food.,People enjoying eating their homemade lunch.,141755292.jpg#4r4c,Two young people,serve,food,People,enjoying eating,their homemade lunch
contradiction,Two young women working on a project.,The women are asleep.,3328289539.jpg#1r1c,Two young women,working,on a project,The women,are,asleep
neutral,many dogs jump over a fence.,Dogs are indoors.,2444134813.jpg#3r1n,many dogs,jump,over a fence,Dogs,are,indoors
contradiction,Three teens are talking near a wall.,Six enemies fight behind the wall.,4051627887.jpg#4r5c,Three teens,are talking,near a wall,Six enemies,fight,behind the wall
entailment,Two persons repairing their bicycle.,The bicycle needs repair.,1595227547.jpg#3r5e,Two persons,repairing,their bicycle,The bicycle,needs,repair
contradiction,A barber is cutting a man's hair.,The barber is shaving the man's beard.,3461677493.jpg#3r1c,A barber,is cutting,a man's hair,The barber,is shaving,the man's beard
entailment,Two dogs playing in the ocean.,The two dogs are outdoors.,481827288.jpg#3r1e,Two dogs,playing,in the ocean,The two dogs,are,outdoors
entailment,An older woman sitting outside.,The older lady likes being outside.,4454575636.jpg#4r1e,An older woman,sitting,outside,The older lady,being,outside
entailment,A parade drummer playing for the crowd.,A musician plays a drum.,1434155791.jpg#3r1e,A parade drummer,playing,for the crowd,A musician,plays,a drum
entailment,Mountains with trees loom high in the background.,Trees grow from the mountain.,vg_verb98r4e,Mountains with trees,loom high,in the background,Trees,grow,from the mountain
contradiction,The little girl is kissing the brown cat.,the cat is black,3421480658.jpg#4r1c,The little girl,is kissing,the brown cat,the cat,is,black
entailment,A man ganders at local crosswalk.,the man looks at the crosswalk.,4540798718.jpg#4r1e,A man,ganders,at local crosswalk,the man,looks,at the crosswalk
contradiction,A child stands near a fence.,the child was on a plane,811662356.jpg#4r1c,A child,stands,near a fence,the child,was,on a plane
entailment,An elderly woman sitting on a bench.,A woman is sitting on a bench.,4725046541.jpg#4r1e,An elderly woman,sitting,on a bench,A woman,is sitting,on a bench
neutral,A lovely lady playing music.,A lady is playing the piano.,336411072.jpg#4r1n,A lovely lady,playing,music,A lady,is playing,the piano
entailment,Four shirtless men hike up a canyon.,The men hike up the canyon.,1797507760.jpg#2r3e,Four shirtless men,hike up,a canyon,The men,hike up,the canyon
entailment,The speckled dog runs through the marsh.,A dog is running outside.,2404520067.jpg#3r1e,The speckled dog,runs,through the marsh,A dog,is running,outside
contradiction,A child painting a picture.,A man is eating play-doh,3491098589.jpg#4r1c,A child,painting,a picture,A man,is eating,play-doh
entailment,Three people are walking through a gate.,Three people walk through the gate.,4458801621.jpg#4r1e,Three people,are walking,through a gate,Three people,walk,through the gate
contradiction,A girl dancing on stage.,A girl is walking at the mall.,3667908724.jpg#3r1c,A girl,dancing,on stage,A girl,is walking,at the mall
neutral,A bald man is covered in sawdust.,A bald man is working with a saw.,4031278022.jpg#4r1n,A bald man,is covered,in sawdust,A bald man,is working,with a saw
contradiction,Paul shrinks from this view.,Paul looks huge.,79852c,Paul,shrinks,from this view,Paul,looks,huge
entailment,"Construction worker, welding on high beam.",The man is a worker.,107936523.jpg#3r5e,Construction worker,welding,on high beam,The man,is,a worker
contradiction,She did so.,She refused to do it.,36078c,She,did,so,She,refused to do,it
entailment,A woman taking a picture.,The woman is taking a photo.,528726853.jpg#4r1e,A woman,taking,a picture,The woman,is taking,a photo
entailment,A band is performing for an audience.,The audience are waiting to be entertained,6309331514.jpg#4r2e,A band,is performing,for an audience,The audience,are waiting,to be entertained
contradiction,He was a good man.,He was a jerk.,31631c,He,was,a good man,He,was,a jerk
entailment,Stardom can be addictive.,Stardom may be addictive.,137425e,Stardom,can be,addictive,Stardom,may be,addictive
neutral,Two men chatting in the evening.,The men are having dinner together.,7013217.jpg#4r1n,Two men,chatting,in the evening,The men,are having together,dinner
contradiction,For  Hatfield recounts calling Source No.,Hatfield has never used a source.,71166c,For  Hatfield,recounts,calling Source No.,Hatfield,has never used,a source
contradiction,Black dog prancing through the river.,A black dog is running through the snow.,517102724.jpg#3r1c,Black dog,prancing,through the river,A black dog,is running,through the snow
entailment,An elderly couple are sitting on a bench.,Two people are on a bench.,4471667766.jpg#1r1e,An elderly couple,are sitting,on a bench,Two people,are,on a bench
entailment,Group of men begin a foot race.,Men are running a race.,6586265523.jpg#4r1e,Group of men,begin,a foot race,Men,are running,a race
entailment,A woman is holding a baby.,The woman has a baby in her arms.,129863111.jpg#4r1e,A woman,is holding,a baby,The woman,has,a baby
neutral,a man walking down an alleyway,A man is looking for a victim.,134973484.jpg#4r4n,a man,walking,down an alleyway,A man,is looking,for a victim
entailment,A girls is jumping in the sand.,A girl playing at the beach.,1412832223.jpg#1r2e,A girls,is jumping,in the sand,A girl,playing,at the beach
neutral,Even Barik noticed it.,Even Barik noticed the bloodshed.,40209n,Even Barik,noticed,it,Even Barik,noticed,the bloodshed
neutral,Performers are doing a traditional dance.,Performers are celebrating an ethnic holiday.,4082808690.jpg#3r1n,Performers,are doing,a traditional dance,Performers,are celebrating,an ethnic holiday
entailment,The police backed down.,The police eventually backed down.,86116e,The police,backed,down,The police,backed down,eventually
entailment,Baseball player running to catch ball.,A player is catching a ball.,2940342154.jpg#3r1e,Baseball player,running to catch,ball,A player,is catching,a ball
entailment,An elderly lady bent over two buckets.,A woman is near some buckets.,4734949227.jpg#4r1e,An elderly lady,bent,over two buckets,A woman,is,near some buckets
contradiction,A young woman is silhouetted against other pedestrians.,A young man is silhouetted against other pedestrians.,1376871596.jpg#3r1c,A young woman,is silhouetted,against other pedestrians,A young man,is silhouetted,against other pedestrians
entailment,Two dogs are running up a woodland path.,Two dogs are on a path.,3381161854.jpg#2r1e,Two dogs,are running up,a woodland path,Two dogs,are,on a path
contradiction,A dog swims in the lake.,The dog is playing in a field.,3516267455.jpg#3r1c,A dog,swims,in the lake,The dog,is playing,in a field
contradiction,Monsieur Kramenin? said the latter abruptly.,The entire room was completely silent. ,105122c,Monsieur Kramenin,said,the latter abruptly,The entire room,was,completely silent
entailment,A child is looking at a clown.,The clown is near a child.,3250981070.jpg#4r4e,A child,is looking,at a clown,The clown,is,near a child
neutral,A construction worker is fixing a large machine.,a man fixes a tractor,6876946433.jpg#4r5n,A construction worker,is fixing,a large machine,a man,fixes,a tractor
entailment,I guess that's all right.,I suppose that is okay.,58934e,I,guess,that's all right,that,is,okay
contradiction,Older woman driving a truck.,A man is driving a car.,2296139788.jpg#4r1c,Older woman,driving,a truck,A man,is driving,a car
entailment,Two schoolgirls are talking to a woman.,Two girls are talking to a woman.,3303155124.jpg#4r1e,Two schoolgirls,are talking,to a woman,Two girls,are talking,to a woman
entailment,A woman making several beaded necklaces.,Someone is making jewelry.,4768602434.jpg#4r1e,A woman,making,several beaded necklaces,Someone,is making,jewelry
neutral,Two girls share a laugh together.,Two fat girls share a laugh together.,276967198.jpg#3r1n,Two girls,share together,a laugh,Two fat girls,share together,a laugh
contradiction,small child sitting on rock alone.,The child is standing with his friends.,5581356064.jpg#4r1c,small child,sitting,on rock alone,The child,is standing,with his friends
entailment,Automobile includes small trucks.,Small trucks are considered as automobiles.,120702e,Automobile,includes,small trucks,Small trucks,are considered,as automobiles
entailment,A student reclines while lecturers lecture.,The student is laying back in his chair and listening to the lecture.,3997230703.jpg#4r1e,A student,reclines,while lecturers lecture,The student,is listening,to the lecture
neutral,A man is jumping on the beach.,The weather is nice,2347251375.jpg#4r1n,A man,is jumping,on the beach,The weather,is,nice
contradiction,A baby cries in its cradle.,A baby is walking down the street.,276052913.jpg#4r1c,A baby,cries,in its cradle,A baby,is walking,down the street
contradiction,Eight people help load a truck.,The truck is upside down.,3084753195.jpg#4r1c,Eight people,help load,a truck,The truck,is,upside down
contradiction,Children in costumes standing in line.,A child hits his mother.,2977379863.jpg#4r1c,Children in costumes,standing,in line,A child,hits,his mother
entailment,Ca'daan heard hoof beats approaching.,Hoof beats were heard by Ca'daan.,57531e,Ca'daan,heard,hoof beats approaching,Hoof beats,were heard,by Ca'daan
entailment,a man plays his white banjo.,The man enjoys playing music.,3799984714.jpg#4r1e,a man,plays,his white banjo,The man,enjoys,playing music
entailment,That is a high crime.,That is a high crime.,17407e,That,is,a high crime,That,is,a high crime
entailment,I looked carefully round the walls.,I cautiously inspected the walls.,68182e,I,looked carefully,round the walls,I,cautiously inspected,the walls
entailment,I HAD thought of hats! ,I had thought about the hats.,22418e,I HAD,thought,of hats,I,had thought,about the hats
neutral,Three children are playing together in some water.,Three girls are playing in water.,3545427060.jpg#1r1n,Three children,are playing together,in some water,Three girls,are playing,in water
contradiction,The couple are exchanging wedding vows.,the couple is getting a divorce,226680398.jpg#3r1c,The couple,are exchanging,wedding vows,the couple,is getting,a divorce
entailment,A young woman getting her haircut.,The young woman is not alone.,180361087.jpg#3r4e,A young woman,getting,her haircut,The young woman,is not,alone
contradiction,Three black dogs playing on the beach.,The dogs are at home,2809793070.jpg#2r1c,Three black dogs,playing,on the beach,The dogs,are,at home
neutral,Two individuals watch a tennis match.,The two people are soccer players.,446291803.jpg#4r1n,Two individuals,watch,a tennis match,The two people,are,soccer players
contradiction,Three young men are celebrating together in public.,Three men are on the moon.,4860412120.jpg#2r4c,Three young men,are celebrating together,in public,Three men,are,on the moon
neutral,A protester holding a sign.,The protester is on strike.,4533797732.jpg#4r1n,A protester,holding,a sign,The protester,is,on strike
entailment,A small baby splashes in water,A baby splashes in the water.,3666169738.jpg#4r1e,A small baby,splashes,in water,A baby,splashes,in the water
entailment,Two men welding a fallen frame.,Two people are using welding equipment.,7609903164.jpg#4r1e,Two men,welding,a fallen frame,Two people,are using,welding equipment
entailment,Eager fans await a concert.,The concert was feverishly anticipated,4592329357.jpg#4r1e,Eager fans,await,a concert,The concert,was anticipated,feverishly
entailment,I got uneasy.,I felt uneasy.,144485e,I,got,uneasy,I,felt,uneasy
entailment,Stark had planned this well.,This was something that was planned well by Stark.,45710e,Stark,had planned well,this,something,was planned well,by Stark
neutral,Factory workers are steadily completing their jobs.,Workers are assembling cars.,13042995.jpg#3r2n,Factory workers,are steadily completing,their jobs,Workers,are assembling,cars
contradiction,A guitar band is playing on stage.,The guitar band is at Mcdonalds.,2322797357.jpg#2r1c,A guitar band,is playing,on stage,The guitar band,is,at Mcdonalds
entailment,Three young boys are skateboarding on a ramp.,the boys are on the ramp,2876494009.jpg#2r1e,Three young boys,are skateboarding,on a ramp,the boys,are,on the ramp
contradiction,An overweight women prepares skins a pineapple.,A woman is throwing food away.,1336772621.jpg#4r1c,An overweight women,prepares,skins a pineapple,A woman,is throwing away,food
contradiction,A yellow car drives quickly in the snow.,A woman is riding a bicycle.,3326024473.jpg#2r1c,A yellow car,drives quickly,in the snow,A woman,is riding,a bicycle
contradiction,an old lady walks down the street.,The lady is a young woman.,502884177.jpg#4r5c,an old lady,walks,down the street,The lady,is,a young woman
contradiction,a man walking in the graveyard.,A man is at the store.,3403860799.jpg#4r1c,a man,walking,in the graveyard,A man,is,at the store
neutral,Three ladies sewing on a bench.,Three ladies are making a quilt.,3356628098.jpg#4r1n,Three ladies,sewing,on a bench,Three ladies,are making,a quilt
contradiction,Two women dancing in asian attire.,People cry at a funeral.,7175447793.jpg#4r1c,Two women,dancing,in asian attire,People,cry,at a funeral
entailment,A native women displaying a decorative blanket.,A woman is near a blanket,3827304258.jpg#2r1e,A native women,displaying,a decorative blanket,A woman,is,near a blanket
neutral,Two swans swimming in the water.,The two swans are mates.,356143774.jpg#2r4n,Two swans,swimming,in the water,The two swans,are,mates
contradiction,Two dogs are playing in the snow.,Dogs are playing at the beach.,3354474353.jpg#3r1c,Two dogs,are playing,in the snow,Dogs,are playing,at the beach
contradiction,Two men practicing martial arts together.,The men are playing video games.,3957716846.jpg#4r1c,Two men,practicing together,martial arts,The men,are playing,video games
contradiction,a boy swims in the pool.,A boy is sleeping in the bed.,2651915425.jpg#3r1c,a boy,swims,in the pool,A boy,is sleeping,in the bed
contradiction,not many people know about Miami,Everyone knows everything about Miami.,26290c,not many people,know,about Miami,Everyone,knows,everything about Miami
neutral,Two teenagers are staring across a table.,The two teenagers are having a staring contest.,450138714.jpg#3r1n,Two teenagers,are staring,across a table,The two teenagers,are having,a staring contest
entailment,Others are more subtle.,Other ones aren't as obvious.,3180e,Others,are,more subtle,Other ones,are n't,as obvious
neutral,A lady shows her sword,the lady is a warrior,1999444757.jpg#4r1n,A lady,shows,her sword,the lady,is,a warrior
contradiction,Dog running in yard.,A cat is outside.,3223973114.jpg#4r1c,Dog,running,in yard,A cat,is,outside
contradiction,A child trying to catch a Frisbee.,A man trying to catch a Frisbee.,3168841415.jpg#4r1c,A child,trying to catch,a Frisbee,A man,trying to catch,a Frisbee
contradiction,Pedestrians crossing over a bridge.,the pedestrians are in the garden,3254993045.jpg#4r1c,Pedestrians,crossing,over a bridge,the pedestrians,are,in the garden
entailment,A person is snowboarding wearing a helmet.,A person is wearing a snowboard and helmet.,vg_verb125r3e,A person,is snowboarding wearing,a helmet,A person,is wearing,a helmet
contradiction,The dog is waiting for his master.,A dog runs across the street.,2231048328.jpg#4r1c,The dog,is waiting,for his master,A dog,runs,across the street
neutral,They still showed up.,They had been told not to come.,98279n,They,showed up,still,They,had been told,not to come
contradiction,An older man waiting for the bus.,A young girl waits for the bus.,3419311249.jpg#3r1c,An older man,waiting,for the bus,A young girl,waits,for the bus
entailment,People crossing a street.,People are on the ground.,4481383970.jpg#4r1e,People,crossing,a street,People,are,on the ground
entailment,Five Asian friends posing together for a picture.,Three people position themselves close together.,137430875.jpg#1r4e,Five Asian friends,posing together,for a picture,Three people,position close together,themselves
entailment,Two people are observing some ruins.,Some people are looking at the ruins.,429283612.jpg#3r1e,Two people,are observing,some ruins,Some people,are looking,at the ruins
contradiction,A German shepherd is running through the snow.,A rottweiler is running through the snow.,3212456649.jpg#3r1c,A German shepherd,is running,through the snow,A rottweiler,is running,through the snow
entailment,Asian girls walking down the street.,the asian girls walking the street,2937011123.jpg#4r1e,Asian girls,walking,down the street,the asian girls,walking,the street
entailment,White looked at me.,It was White who looked at me. ,99713e,White,looked,at me,It,was,White
neutral,Two older women eating soup.,There is chicken in the soup.,313542438.jpg#4r1n,Two older women,eating,soup,There,is chicken in,the soup
entailment,A little boy calmly holds a butterfly.,A little boy holding a butterfly,181172072.jpg#4r1e,A little boy,calmly holds,a butterfly,A little boy,holding,a butterfly
neutral,A little boy is playing soccer.,The boy is wearing a blue uniform.,200778628.jpg#4r1n,A little boy,is playing,soccer,The boy,is wearing,a blue uniform
contradiction,Three girls playing volleyball.,boys playing volleyball,6188880632.jpg#4r1c,Three girls,playing,volleyball,boys,playing,volleyball
entailment,Three teen boys playing basketball outside,Three boys play basketball.,2915183095.jpg#3r1e,Three teen boys,playing,basketball outside,Three boys,play,basketball
neutral,A wedding party poses for a picture.,A bride is surrounded by friends.,3098714492.jpg#4r1n,A wedding party,poses,for a picture,A bride,is surrounded,by friends
entailment,History defies laws.,Laws cannot control history.,33475e,History,defies,laws,Laws,can not control,history
neutral,Construction workers overseen by manager.,The construction workers have a friendly boss.,2536933695.jpg#4r1n,Construction workers,overseen,by manager,The construction workers,have,a friendly boss
neutral,A small child stands on a beach.,The child is outside.,6734417.jpg#4r1n,A small child,stands,on a beach,The child,is,outside
contradiction,He watched the man pass.,The man stayed still.,88858c,He,watched,the man pass,The man,stayed,still
entailment,A black dog running in a race.,The dog is competing in a race.,2372763106.jpg#4r3e,A black dog,running,in a race,The dog,is competing,in a race
contradiction,The helicopter was armed.,The helicopter was unarmed. ,59497c,The helicopter,was,armed,The helicopter,was,unarmed
entailment,Someone has trained the dog well.,The dog is well trained.,vg_verb106r2e,Someone,has trained well,the dog,The dog,is,well trained
contradiction,Two children are playing on monkey bars.,The children are walking up a mountain.,1956944011.jpg#3r1c,Two children,are playing,on monkey bars,The children,are walking,up a mountain
entailment,Two children go sledding.,The children are outside.,2780031669.jpg#4r1e,Two children,go,sledding,The children,are,outside
contradiction,A orange robed Buddhist monk sleeping.,The monk is sleeping naked.,4708658738.jpg#1r1c,A orange,robed,Buddhist monk sleeping,The monk,is sleeping,naked
entailment,A bearded man is playing the clarinet.,A man is playing an instrument.,2736200571.jpg#4r1e,A bearded man,is playing,the clarinet,A man,is playing,an instrument
entailment,A dog shaking off water.,The dog shook off the water.,263522013.jpg#3r1e,A dog,shaking off,water,The dog,shook off,the water
entailment,a black dog sits on the floor.,A dog is on the floor.,2635483351.jpg#4r1e,a black dog,sits,on the floor,A dog,is,on the floor
contradiction,People crossing the street,people sitting in the bus.,3411022255.jpg#4r1c,People,crossing,the street,people,sitting,in the bus
entailment,A dog plays in the water.,A dog is getting wet.,2280354512.jpg#4r2e,A dog,plays,in the water,A dog,is getting,wet
neutral,Students working together analyzing their science experiment.,Students are collaborating on a project.,6973150582.jpg#3r1n,Students,working together analyzing,their science experiment,Students,are collaborating,on a project
neutral,A construction crew working high up on a scaffolding.,a crew is repairing the building,6893619011.jpg#1r1n,A construction crew,working high up,on a scaffolding,a crew,is repairing,the building
neutral,Two men are riding horses.,Two brothers are riding horses together.,4930823945.jpg#4r1n,Two men,are riding,horses,Two brothers,are riding together,horses
contradiction,That is good.,That will not be acceptable.,50124c,That,is,good,That,will not be,acceptable
entailment,A golfer is teeing off the green.,The golfer is on the green.,7185451077.jpg#3r4e,A golfer,is teeing off,the green,The golfer,is,on the green
contradiction,"Correct, said Jon.","Incorrect, said Jon.",132300c,Correct,said,Jon,Incorrect,said,Jon
neutral,A person making Chinese barbecue.,Someone is working at a restaurant.,3728710345.jpg#3r1n,A person,making,Chinese barbecue,Someone,is working,at a restaurant
entailment,A young women sits on a bench outdoors.,A bench outside with someone sitting on it.,5642901248.jpg#4r1e,A young women,sits outdoors,on a bench,someone,sitting,on it
contradiction,Two Asians enjoying some soup.,Two caucasians are enjoying some broth.,313542438.jpg#3r1c,Two Asians,enjoying,some soup,Two caucasians,are enjoying,some broth
entailment,A large dog sits in the grass.,A dog is outside.,1469000260.jpg#4r1e,A large dog,sits,in the grass,A dog,is,outside
neutral,Two girls lift a third girl.,Sisters are goofing around.,2766325714.jpg#4r2n,Two girls,lift,a third girl,Sisters,are goofing,around
entailment,The brown dog is shaking itself off.,An animal is wet.,297724467.jpg#3r1e,The brown dog,is shaking off,itself,An animal,is,wet
entailment,A woman is holding a child.,A person holds a person.,192305414.jpg#4r3e,A woman,is holding,a child,A person,holds,a person
neutral,Older man walking in crazy shadows.,A man is walking at night.,4470208353.jpg#3r1n,Older man,walking,in crazy shadows,A man,is walking,at night
entailment,Woman walking alone downtown.,There is a woman taking a walk downtown.,4804878120.jpg#4r1e,Woman,walking,alone downtown,a woman,taking,a walk downtown
neutral,Three women are jogging on a path.,Three women are running from something.,2421156369.jpg#3r1n,Three women,are jogging,on a path,Three women,are running,from something
entailment,A man playing the saxophone.,A man plays his sax,6841943688.jpg#4r1e,A man,playing,the saxophone,A man,plays,his sax
entailment,The avenue stays closed.,The avenue is closed.,91850e,The avenue,stays,closed,The avenue,is,closed
neutral,Two young children wearing sunglasses,Two kids playing dress up,756004341.jpg#3r1n,Two young children,wearing,sunglasses,Two kids,playing up,dress
entailment,Two little boys are hanging out on a beach.,Children are outdoors,200269546.jpg#3r1e,Two little boys,are hanging out,on a beach,Children,are,outdoors
contradiction,An older couple enjoying a Christmas meal.,A man is drinking alone in a bar.,2254442869.jpg#4r1c,An older couple,enjoying,a Christmas meal,A man,is drinking alone,in a bar
neutral,People milling around amphitheater.,The people are waiting on a show.,4887777901.jpg#4r1n,People,milling,around amphitheater,The people,are waiting,on a show
contradiction,A person is parasailing near a beach.,The person is scuba diving.,1215804065.jpg#4r1c,A person,is parasailing,near a beach,The person,is,scuba diving
neutral,A little boy attempts to fix his bike.,A young boy replaces his bike tires.,1465531335.jpg#3r2n,A little boy,attempts to fix,his bike,A young boy,replaces,his bike tires
entailment,A man is kayaking down a waterfall.,A man is in a waterfall.,2086532897.jpg#3r1e,A man,is kayaking down,a waterfall,A man,is,in a waterfall
neutral,A man covering up parts of sign.,The man is overweight.,1401998185.jpg#4r1n,A man,covering up,parts of sign,The man,is,overweight
entailment,a man walking down an alleyway,A man walking outside.,134973484.jpg#4r5e,a man,walking,down an alleyway,A man,walking,outside
entailment,The dog runs through the field.,The dog is running outside.,2404520067.jpg#4r1e,The dog,runs,through the field,The dog,is running,outside
neutral,A cowboy lassoing a horse.,A cowboy lassoes a bucking horse.,402685953.jpg#4r1n,A cowboy,lassoing,a horse,A cowboy,lassoes,a bucking horse
contradiction,Jon hid behind his rock.,Jon was hiding behind the tree. ,31411c,Jon,hid,behind his rock,Jon,was hiding,behind the tree
contradiction,three girls tug a rope.,Three girls push a car.,3701544312.jpg#4r1c,three girls,tug,a rope,Three girls,push,a car
contradiction,An older couple is walking down the street.,A younger couple is standing in the street.,4935749619.jpg#3r1c,An older couple,is walking,down the street,A younger couple,is standing,in the street
contradiction,Three little girls are sitting on the grass.,the three girls are running around,368954110.jpg#2r2c,Three little girls,are sitting,on the grass,the three girls,are running,around
entailment,Three people are watching their cars.,A few people look at something.,491484504.jpg#4r1e,Three people,are watching,their cars,A few people,look,at something
neutral,An Olympic jumper crossing the rope.,the jumper was in the lead,2741990005.jpg#3r1n,An Olympic jumper,crossing,the rope,the jumper,was,in the lead
neutral,an asian woman holds her fur scarf.,The woman is standing outside.,3356284586.jpg#4r1n,an asian woman,holds,her fur scarf,The woman,is standing,outside
entailment,Children are smiling in a classroom.,The children are indoors.,901763909.jpg#4r1e,Children,are smiling,in a classroom,The children,are,indoors
neutral,A skateboarder rides down a rail.,he is downtown,3537520829.jpg#3r1n,A skateboarder,rides down,a rail,he,is,downtown
