GoldLabel,Premise,Hypothesis,PairID,PremiseSubj,PremiseRel,PremiseObj,HypothesisSubj,HypothesisRel,HypothesisObj
neutral,Two Hockey players are fighting over the puck.,One hockey player just punched the other.,1797436026.jpg#4r1n,Two Hockey players,are fighting,over the puck,One hockey player,just punched,the other
entailment,Some customers are eating at a restaurant.,People are eating at a restaurant.,3354264393.jpg#3r1e,Some customers,are eating,at a restaurant,People,are eating,at a restaurant
neutral,A soccer team is warming up on the pitch.,A team is getting ready to play.,2189721750.jpg#3r1n,A soccer team,is warming up,on the pitch,A team,is getting,ready to play
entailment,The woman is hiking up a snowy hill.,A woman is walking in the snow.,390992388.jpg#4r1e,The woman,is hiking up,a snowy hill,A woman,is walking,in the snow
contradiction,Man playing on the drums.,The man is playing a harp.,4676717700.jpg#4r1c,Man,playing,on the drums,The man,is playing,a harp
entailment,it was it was beyond,It was beyond.,18144e,it,was,it was beyond,It,was,beyond
contradiction,This city is throwing a big celebration.,The town is closed for business.,4570241628.jpg#4r1c,This city,is throwing,a big celebration,The town,is closed,for business
entailment,A young girl is swinging in a backyard.,The girl is outdoors,1810651611.jpg#3r5e,A young girl,is swinging,in a backyard,The girl,is,outdoors
contradiction,Two men fight over a waffle.,Two men are happily sharing a dessert.,2474615549.jpg#4r1c,Two men,fight,over a waffle,Two men,are happily sharing,a dessert
contradiction,Basketball players waiting for a rebound.,The basketball players are sitting on the bench.,4235671794.jpg#4r1c,Basketball players,waiting,for a rebound,The basketball players,are sitting,on the bench
entailment,A motorcycle racer is gesturing at somebody.,Someone is riding a motorized vehicle.,3441701164.jpg#3r1e,A motorcycle racer,is gesturing,at somebody,Someone,is riding,a motorized vehicle
entailment,A barber is cutting a man's hair.,A person is having their hair cut.,3461677493.jpg#3r1e,A barber,is cutting,a man's hair,A person,is having,their hair cut
neutral,A car drifting in the desert.,The car is a convertible.,8049107365.jpg#4r1n,A car,drifting,in the desert,The car,is,a convertible
entailment,A man standing in a crosswalk,A man is outside.,549887636.jpg#4r1e,A man,standing,in a crosswalk,A man,is,outside
entailment,The man is welding the iron.,A man is working on iron.,17641927.jpg#4r3e,The man,is welding,the iron,A man,is working,on iron
neutral,I touched my face.,I touched my cheek.,106900n,I,touched,my face,I,touched,my cheek
contradiction,Five people are sitting inside a building.,5 friends are running inside a building.,133280380.jpg#3r4c,Five people,are sitting,inside a building,5 friends,are running,inside a building
contradiction,A girls is jumping in the sand.,The boy is shooting the beebe gun.,1412832223.jpg#1r4c,A girls,is jumping,in the sand,The boy,is shooting,the beebe gun
entailment,Two construction workers trying to mix cement.,Workers are mixing cement.,4521223019.jpg#3r1e,Two construction workers,trying,to mix cement,Workers,are mixing,cement
contradiction,Two little children playing in the bathroom.,Two children are playing outside.,2863349041.jpg#4r1c,Two little children,playing,in the bathroom,Two children,are playing,outside
neutral,Two young boys are playing lacrosse.,the boys are ten,4511704373.jpg#3r1n,Two young boys,are playing,lacrosse,the boys,are,ten
entailment,A man is sitting playing guitar.,a man is playing an instrument,3021953768.jpg#4r1e,A man,is sitting,playing guitar,a man,is playing,an instrument
entailment,A girl is having her hair braided.,A girl is getting her hair done.,6131156900.jpg#4r1e,A girl,is having,her hair braided,A girl,is getting,her hair done
entailment,A man is fixing a bike's chains.,There is a person working on a bicycle.,5001254496.jpg#4r1e,A man,is fixing,a bike's chains,a person,working,on a bicycle
contradiction,several people are lounging around statued fountain.,Several people are jumping into the fountain.,4834130488.jpg#3r1c,several people,are lounging,around statued fountain,Several people,are jumping,into the fountain
entailment,Two children sleeping in a stroller.,The children are asleep.,5519354264.jpg#4r1e,Two children,sleeping,in a stroller,The children,are,asleep
entailment,A black dog runs along the beach.,A dog is outside.,467960888.jpg#3r1e,A black dog,runs,along the beach,A dog,is,outside
contradiction,Three girls playing on the ground.,The boys were climbing the tree.,508261758.jpg#4r1c,Three girls,playing,on the ground,The boys,were climbing,the tree
neutral,customer care girl talking with staff man,The woman is seeking help.,278776089.jpg#4r1n,customer care girl,talking,with staff man,The woman,is seeking,help
contradiction,A man is working on building something.,A man resting after work.,32184285.jpg#3r1c,A man,is working,on building something,A man,resting,after work
neutral,The kids are playing over the rock.,The children are jumping over the rocks.,711689801.jpg#3r1n,The kids,are playing,over the rock,The children,are jumping,over the rocks
neutral,Two old women enjoying at a gathering.,Two women are enjoying company.,2230971412.jpg#3r1n,Two old women,enjoying,at a gathering,Two women,are enjoying,company
entailment,A child enjoys splashing water.,A child splashes water.,4824819367.jpg#3r1e,A child,enjoys splashing,water,A child,splashes,water
entailment,A woman is watching a black dog.,The dog is black.,4123894799.jpg#2r4e,A woman,is watching,a black dog,The dog,is,black
entailment,I was right.,I had been correct.,26233e,I,was,right,I,had been,correct
contradiction,Two boys skateboarding at a park.,Two boys are riding bicycles.,3761138998.jpg#4r1c,Two boys,skateboarding,at a park,Two boys,are riding,bicycles
entailment,A chef is preparing some food.,The chef is handling food.,4643831103.jpg#4r1e,A chef,is preparing,some food,The chef,is handling,food
entailment,Men working on a billboard.,Men are putting up a billboard.,86131617.jpg#4r1e,Men,working,on a billboard,Men,are putting up,a billboard
entailment,Children watching a play.,The kids are watching a play.,2429729667.jpg#4r1e,Children,watching,a play,The kids,are watching,a play
entailment,Two dogs are running on a beach.,Two dogs run across the sand.,3654103642.jpg#3r1e,Two dogs,are running,on a beach,Two dogs,run,across the sand
entailment,I told you.,I have told you.,45912e,I,told,you,I,have told,you
contradiction,People watching hot air balloons.,People watching a spaceship launch.,107318069.jpg#4r1c,People,watching,hot air balloons,People,watching,a spaceship launch
entailment,A young girl is crying at the table.,A girl is crying at a table.,2568065443.jpg#3r1e,A young girl,is crying,at the table,A girl,is crying,at a table
entailment,Distressed women playing a slot machine.,A depressed woman is playing a slot machine.,215529847.jpg#3r1e,Distressed women,playing,a slot machine,A depressed woman,is playing,a slot machine
contradiction,Three Asians playing unknown instruments.,2 asians are playing pokemon,3175923463.jpg#4r1c,Three Asians,playing,unknown instruments,2 asians,are playing,pokemon
contradiction,Three workers taking a break.,The workers are working right now,3588950723.jpg#4r1c,Three workers,taking,a break,The workers,are working,right now
entailment,A guy wearing glasses.,A guy is wearing glasses.,2385871165.jpg#4r1e,A guy,wearing,glasses,A guy,is wearing,glasses
entailment,Two nurses look at medical information.,Two people are looking at information.,3856960370.jpg#4r1e,Two nurses,look,at medical information,Two people,are looking,at information
entailment,A dog swims retrieving a stick.,Animal swims retrieving a stick.,241109594.jpg#4r1e,A dog,swims retrieving,a stick,Animal swims,retrieving,a stick
entailment,Two toddlers sitting on a swing.,two toddlers sit on swing,2837740149.jpg#4r1e,Two toddlers,sitting,on a swing,two toddlers,sit,on swing
contradiction,Women wearing hats are working in a river.,Women were swimming in the river.,5349090392.jpg#2r1c,Women wearing hats,are working,in a river,Women,were swimming,in the river
neutral,Two men trying to fold a towel.,Two men are folding a beach towel.,2574886804.jpg#4r1n,Two men,trying to fold,a towel,Two men,are folding,a beach towel
neutral,Two boys stand in the surf.,The boys are playing at the beach.,2596100297.jpg#4r1n,Two boys,stand,in the surf,The boys,are playing,at the beach
entailment,A snowboarder is leaping a mogul.,An athlete is doing tricks.,3170551725.jpg#3r1e,A snowboarder,is leaping,a mogul,An athlete,is doing,tricks
neutral,two girls walking down a street,Two girls are walking to school.,584726817.jpg#4r1n,two girls,walking,down a street,Two girls,are walking,to school
entailment,A older lady is sitting on some steps.,Older lady sitting on steps.,4772555436.jpg#4r1e,A older lady,is sitting,on some steps,Older lady,sitting,on steps
neutral,A woman is riding her bicycle.,A woman is riding her sister's bike.,363691936.jpg#4r2n,A woman,is riding,her bicycle,A woman,is riding,her sister's bike
contradiction,Two dogs fighting in the street.,Two dogs are asleep.,4543597747.jpg#4r3c,Two dogs,fighting,in the street,Two dogs,are,asleep
entailment,A woman sleeping on the subway.,There is a woman sleeping on the subway.,1265501253.jpg#4r1e,A woman,sleeping,on the subway,a woman,sleeping,on the subway
neutral,A man stands at a barbecues.,The barbecues is not on.,157910841.jpg#4r1n,A man,stands,at a barbecues,The barbecues,is not,on
neutral,Two blond children are carrying cookies.,Two blond children are carrying chocolate chip cookies.,504334876.jpg#4r1n,Two blond children,are carrying,cookies,Two blond children,are carrying,chocolate chip cookies
neutral,A young girl is sitting in the grass.,Young girl sitting in the shade.,2851931813.jpg#3r1n,A young girl,is sitting,in the grass,Young girl,sitting,in the shade
contradiction,I should think so indeed!,I somehow doubt it!,71879c,I,should think,so indeed,I,somehow doubt,it
neutral,A dog shaking water off.,A dog is playing at the beach.,1957371533.jpg#4r2n,A dog,shaking off,water,A dog,is playing,at the beach
neutral,They grabbed th' herd.,The herd was grabbed by men.,81176n,They,grabbed,th' herd,The herd,was grabbed,by men
entailment,Two racing dogs run in the mud.,Two dogs are present.,2813588204.jpg#3r1e,Two racing dogs,run,in the mud,Two dogs,are,present
contradiction,Then he screamed suddenly.,He was silent.,74337c,he,screamed suddenly,Then,He,was,silent
contradiction,A man is riding a bicycle.,A man is on roller skates.,8041006083.jpg#4r3c,A man,is riding,a bicycle,A man,is,on roller skates
contradiction,Man sitting restaurant looking outside.,The man is looking inside the restaurant.,4688493146.jpg#4r1c,Man sitting restaurant,looking,outside,The man,is looking,inside the restaurant
contradiction,Gross couple kissing outdoors.,A couple is arguing outside.,4912214346.jpg#4r1c,Gross couple,kissing,outdoors,A couple,is arguing,outside
neutral,A young boy is using a vacuum cleaner.,The boy is cleaning the house.,2887474280.jpg#4r4n,A young boy,is using cleaner,a vacuum,The boy,is cleaning,the house
neutral,A black dog running on a beach.,A dog running toward a ball.,254527963.jpg#4r1n,A black dog,running,on a beach,A dog,running,toward a ball
contradiction,A person jumping into a hole.,A person is jumping into a pool.,3025438110.jpg#4r1c,A person,jumping,into a hole,A person,is jumping,into a pool
neutral,Kids learning about volcanoes.,Kids are doing a volcano project.,4329267374.jpg#4r1n,Kids,learning,about volcanoes,Kids,are doing,a volcano project
contradiction,A man windsurfing in the ocean.,The man is sleeping in bed.,7983188530.jpg#3r1c,A man,windsurfing,in the ocean,The man,is sleeping,in bed
neutral,Lamps twinkled in the Stronghold.,Green lamps shone in the Stronghold.,99189n,Lamps,twinkled,in the Stronghold,Green lamps,shone,in the Stronghold
entailment,Men on horses wrangling a bull.,The men are riding horses.,4930632679.jpg#4r1e,Men on horses,wrangling,a bull,The men,are riding,horses
entailment,Two boys splashing in the surf.,Two boys play outside.,2932498509.jpg#4r1e,Two boys,splashing,in the surf,Two boys,play,outside
neutral,We were surrounded by White's men.,We were outnumbered by White's men.,14475n,We,were surrounded,by White's men,We,were outnumbered,by White's men
contradiction,Two children are dressed as pirates.,Two adults are dressed as pirates.,522063319.jpg#3r1c,Two children,are dressed,as pirates,Two adults,are dressed,as pirates
neutral,A young women sunbathes at the sea.,The woman wears a bikini.,4814933116.jpg#4r1n,A young women,sunbathes,at the sea,The woman,wears,a bikini
entailment,Three chefs sitting outside,Three people are outside.,2790329126.jpg#3r1e,Three chefs,sitting,outside,Three people,are,outside
contradiction,Household items being set outside a building.,The items are inside,495041730.jpg#3r2c,Household items,being set,outside a building,The items,are,inside
neutral,a skateboarder jumps a staircase.,A skater jumps a tall staircase.,3115174046.jpg#4r1n,a skateboarder,jumps,a staircase,A skater,jumps,a tall staircase
neutral,Groups of men sit at banquet tables.,Groups of men are at a banquet.,2284991229.jpg#4r1n,Groups of men,sit,at banquet tables,Groups of men,are,at a banquet
neutral,Two females jump off of swings.,THE grass was green,3666324102.jpg#2r1n,Two females,jump,off of swings,THE grass,was,green
neutral,A white dog running in the snow.,The dog is running after something.,2319197581.jpg#4r1n,A white dog,running,in the snow,The dog,is running,after something
contradiction,Two brown dogs are running on the grass.,Two cats are running in the grass.,1397887419.jpg#3r1c,Two brown dogs,are running,on the grass,Two cats,are running,in the grass
contradiction,Children are learning about a firetruck.,The children are driving the firetruck.,534318261.jpg#4r4c,Children,are learning,about a firetruck,The children,are driving,the firetruck
entailment,"I should like to examine them.""",I want to examine them.,102157e,I,should like,to examine them,I,want,to examine them
contradiction,A woman is holding a red lamp.,The man held a black radio.,461139063.jpg#2r1c,A woman,is holding,a red lamp,The man,held,a black radio
entailment,A small child using an egg beater.,A child is using something.,5010931729.jpg#4r1e,A small child,using,an egg beater,A child,is using,something
neutral,A man staring off into the distance.,man waiting for ride,4655882055.jpg#4r1n,A man,staring off,into the distance,man,waiting,for ride
contradiction,A boy plays at the playground.,A girl is inside watching television.,3251646144.jpg#3r1c,A boy,plays,at the playground,A girl,is,inside watching television
contradiction,Shady man waiting for someone.,Two women are running on the track.,4260947199.jpg#4r1c,Shady man,waiting,for someone,Two women,are running,on the track
entailment,The man is welding the iron.,There is a person making something.,17641927.jpg#4r2e,The man,is welding,the iron,a person,making,something
contradiction,A blond woman plays tennis.,The woman is brunette.,4752984291.jpg#4r1c,A blond woman,plays,tennis,The woman,is,brunette
neutral,People are watching the wrestler fall.,The wrestler is fighting a match.,3018847610.jpg#4r1n,People,are watching,the wrestler fall,The wrestler,is fighting,a match
contradiction,A dog jumping over a fence.,A cat escapes from the yard,512045825.jpg#4r1c,A dog,jumping,over a fence,A cat,escapes,from the yard
contradiction,a large man dozes off on the bus.,The man is wide awake.,2714674623.jpg#4r1c,a large man,dozes off,on the bus,The man,is,wide awake
entailment,"He muttered, ""You're crazy!""",He said that I was crazy.,108278e,He,muttered,You're crazy,I,was,crazy
entailment,A young girl riding a surfboard.,A yougn girl is on the ocean.,2696060728.jpg#4r1e,A young girl,riding,a surfboard,A yougn girl,is,on the ocean
entailment,Two guitarists converse on stage.,Two people are chatting on stage.,4614813437.jpg#4r1e,Two guitarists,converse,on stage,Two people,are chatting,on stage
entailment,A brown dog is running in the sand.,A dog is outside.,1117972841.jpg#0r4e,A brown dog,is running,in the sand,A dog,is,outside
contradiction,Black dog runs through snow.,the dog is asleep,2335619125.jpg#3r1c,Black dog,runs,through snow,the dog,is,asleep
neutral,a white dog runs across the water.,The dog is large.,2853205396.jpg#3r1n,a white dog,runs,across the water,The dog,is,large
entailment,Two older men are standing outside talking.,Two older men have things to say.,3914751903.jpg#2r1e,Two older men,are standing,outside talking,Two older men,have to say,things
entailment,A person outlined by the sun,A person's face is in shadow from the sun.,3572346664.jpg#4r1e,A person,outlined,by the sun,A person's face,is,in shadow
contradiction,Two dogs playing in snow.,The dogs are sleeping by a fireplace.,3337332770.jpg#4r1c,Two dogs,playing,in snow,The dogs,are sleeping,by a fireplace
entailment,Pedestrians interact with street artists.,The street artists interact with the pedestrians,1131056918.jpg#4r1e,Pedestrians,interact,with street artists,The street artists,interact,with the pedestrians
entailment,Man holding little boy tightly.,ADULT IS HOLDING A CHILD,2711758070.jpg#4r1e,Man,holding tightly,little boy,ADULT,IS HOLDING,A CHILD
contradiction,Young girl plays checkers.,The girl is playing chess.,3128965175.jpg#4r1c,Young girl,plays,checkers,The girl,is playing,chess
contradiction,Two women stand outside a library.,The two women sat in a restaurant.,3728164558.jpg#2r1c,Two women,stand,outside a library,The two women,sat,in a restaurant
contradiction,Adrin was speechless.,Adrin began to speak.,56480c,Adrin,was,speechless,Adrin,began,to speak
entailment,A wet spaniel clears a jump.,The dog's paws are caked in mud.,1418266617.jpg#3r4e,A wet spaniel,clears,a jump,The dog's paws,are caked,in mud
contradiction,A young woman builds a gingerbread house.,a man is building a gingerbread house,2081033707.jpg#2r1c,A young woman,builds,a gingerbread house,a man,is building,a gingerbread house
neutral,A woman looking at garbage.,A women looking at something,4436200118.jpg#4r1n,A woman,looking,at garbage,A women,looking,at something
entailment,The weather looks clear.,It is a beautiful and clear day.,vg_len103r2e,The weather,looks,clear,It,is,a beautiful day
entailment,The group wants to share space.,The group would like sharing space. ,108990e,The group,wants to share,space,The group,would like sharing,space
neutral,The redheaded woman is staring off into the distance.,The women is beautiful,536828916.jpg#1r1n,The redheaded woman,is staring off,into the distance,The women,is,beautiful
neutral,a man holds his parachute.,THE grass was green,2664103423.jpg#4r1n,a man,holds,his parachute,THE grass,was,green
contradiction,A small boy is playing with rocks,The boy is reading a book,1112212364.jpg#3r5c,A small boy,is playing,with rocks,The boy,is reading,a book
contradiction,People are walking in the city.,People are riding a bus.,4897085764.jpg#4r1c,People,are walking,in the city,People,are riding,a bus
contradiction,The two man are fixing something.,Guys are stealing stuff.,3514603772.jpg#3r2c,The two man,are fixing,something,Guys,are stealing,stuff
neutral,A snowboarder grinding up a homemade ramp.,The snowboarder is a woman.,3453284877.jpg#4r1n,A snowboarder,grinding up,a homemade ramp,The snowboarder,is,a woman
contradiction,A man is loading his dishwasher.,A woman loads the dishwasher.,4621125014.jpg#3r1c,A man,is loading,his dishwasher,A woman,loads,the dishwasher
contradiction,a man practicing his shooting.,A man is anti-firearm.,7756821586.jpg#4r1c,a man,practicing,his shooting,A man,is,anti-firearm
entailment,It did not yield much. ,It didn't output a great deal. ,59831e,It,did not yield,much,It,did n't output,a great deal
neutral,two small boys playing in the snow,Two kids are playing in the snow.,5518762083.jpg#4r1n,two small boys,playing,in the snow,Two kids,are playing,in the snow
contradiction,A kid comes up from the water.,The man is in the water.,978580450.jpg#3r1c,A kid,comes up,from the water,The man,is,in the water
contradiction,A dog is running along the grass.,The dog is in the lake.,2555535057.jpg#3r1c,A dog,is running,along the grass,The dog,is,in the lake
neutral,a blond man looks at the camera.,The man is modeling for the camera.,3042488474.jpg#4r1n,a blond man,looks,at the camera,The man,is modeling,for the camera
contradiction,A flight attendant is waiting on a bench.,Captain of plane stands in aisle.,4875329519.jpg#4r1c,A flight attendant,is waiting,on a bench,Captain of plane,stands,in aisle
contradiction,Someone is walking a dog.,A person is walking their cat.,4748553447.jpg#4r1c,Someone,is walking,a dog,A person,is walking,their cat
entailment,A grandmother sitting in her room.,An older woman is sitting indoors.,116482438.jpg#4r1e,A grandmother,sitting,in her room,An older woman,is sitting,indoors
contradiction,A woman is watching the tide.,A woman has her eyes closed.,1332823164.jpg#2r1c,A woman,is watching,the tide,A woman,has,her eyes closed
contradiction,A young boy plays on a swing.,A girl is on a swing.,3643074723.jpg#3r6c,A young boy,plays,on a swing,A girl,is,on a swing
contradiction,A man floating on an innertube.,two dogs are chasing a stick,3772553977.jpg#2r1c,A man,floating,on an innertube,two dogs,are chasing,a stick
contradiction,Three guys are shoveling in the desert.,Three guys are riding camels,7261359916.jpg#2r1c,Three guys,are shoveling,in the desert,Three guys,are riding,camels
entailment,An elderly woman is speaking on a microphone.,The woman is giving a speech,4553404656.jpg#4r1e,An elderly woman,is speaking,on a microphone,The woman,is giving,a speech
entailment,A dog is waling on sand.,A dog is outside.,2256320794.jpg#4r1e,A dog,is waling,on sand,A dog,is,outside
entailment,Two young girls embrace on the sidewalk.,Two people embrace on the sidewalk.,3450776690.jpg#4r1e,Two young girls,embrace,on the sidewalk,Two people,embrace,on the sidewalk
contradiction,Dog passes through obstacles.,Dog is sleeping in its bed.,2695962887.jpg#4r1c,Dog,passes,through obstacles,Dog,is sleeping,in its bed
entailment,it was kind of scary,It was sort of terrifying. ,26775e,it,was,kind of scary,It,was,sort of terrifying
contradiction,little girl preparing food.,The little girl is dancing in a gym.,4770851749.jpg#4r1c,little girl,preparing,food,The little girl,is dancing,in a gym
entailment,Lumme! came ecstatically from Albert.,Albert exclaimed the name Lumme happily.,34926e,Lumme,came,ecstatically from Albert,Albert,exclaimed happily,the name
entailment,a shirtless man jumps over a log.,A man is jumping over a log,134894450.jpg#3r1e,a shirtless man,jumps,over a log,A man,is jumping,over a log
entailment,We will fight in the town.,"In the town, we will fight.",85193e,We,will fight,in the town,we,will fight,In the town
entailment,A young girl running down a street.,girl runs down street,1919181287.jpg#3r1e,A young girl,running,down a street,girl,runs,down street
entailment,She is my ward.,She is connected to me.,52159e,She,is,my ward,She,is,connected to me
neutral,A gymnast performing in a competition.,The gymnast is doing a flip.,3414043795.jpg#4r1n,A gymnast,performing,in a competition,The gymnast,is doing,a flip
entailment,A BMX biker is on a course.,A biker is on a course.,5075763701.jpg#4r1e,A BMX biker,is,on a course,A biker,is,on a course
neutral,Children watching a play.,Some people are watching something.,2429729667.jpg#4r1n,Children,watching,a play,Some people,are watching,something
entailment,two young girls fly a kite.,Two children flying a kite.,1517807181.jpg#4r2e,two young girls,fly,a kite,Two children,flying,a kite
entailment,5 basketball players trying to get the ball.,Some people are playing basketball.,6474991347.jpg#4r4e,5 basketball players,trying to get,the ball,Some people,are playing,basketball
entailment,A young girl wearing a pink tutu.,A young girl wearing a tutu.,3665996775.jpg#4r1e,A young girl,wearing,a pink tutu,A young girl,wearing,a tutu
entailment,Two dogs are facing each other.,There are two dogs facing each other.,2384147448.jpg#4r1e,Two dogs,are facing,each other,two dogs,facing,each other
neutral,An older man eating a burrito.,An older man likes Mexican cuisine.,3961790757.jpg#3r2n,An older man,eating,a burrito,An older man,likes,Mexican cuisine
neutral,Asian man standing under mailbox.,Man waiting for mail.,4654264126.jpg#3r1n,Asian man,standing,under mailbox,Man,waiting,for mail
entailment,Three running men participating in a marathon.,Three men compete in a marathon.,4961508842.jpg#1r1e,Three running men,participating,in a marathon,Three men,compete,in a marathon
contradiction,A bike taxi rides down the road.,Nobody is driving the bike taxi.,3410629379.jpg#4r1c,A bike taxi,rides,down the road,Nobody,is driving,the bike taxi
neutral,A boy is adjusting a museum exhibit.,The boy is touching a painting.,12668600.jpg#2r5n,A boy,is adjusting,a museum exhibit,The boy,is touching,a painting
